STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,CLICKS,IMPRESSIONS,REVENUE
a9,1990,1,1,8656,25054160,"2085,24"
a9,1990,1,2,9372,30157584,"2275,96"
a9,1990,1,3,9996,25199436,2136
a9,1990,1,4,8516,27814248,"2014,44"
a9,1990,1,5,9264,22359072,"2064,68"
a9,1990,1,6,8708,21894572,"1874,4"
a9,1990,1,7,7988,25822312,"1885,04"
auctionexpr,1990,1,1,78004,227012484,"36537,24"
auctionexpr,1990,1,2,80316,273021756,"38583,64"
auctionexpr,1990,1,3,88140,228726524,"38315,52"
auctionexpr,1990,1,4,76956,252767064,"36937,08"
auctionexpr,1990,1,5,80184,204012628,"36067,2"
auctionexpr,1990,1,6,79496,200907960,"34887,52"
auctionexpr,1990,1,7,70560,236563628,"33729,48"
b9,1990,1,1,11416,24992068,"2456,76"
b9,1990,1,2,11572,30030452,"2649,84"
b9,1990,1,3,13024,25099344,"2587,68"
b9,1990,1,4,11336,27674736,"2547,68"
b9,1990,1,5,12100,22307048,"2593,08"
b9,1990,1,6,11060,21846760,"2445,56"
b9,1990,1,7,10500,25771052,"2455,68"
c9,1990,1,1,8744,24937288,"2135,32"
c9,1990,1,2,9496,29993056,"2490,8"
c9,1990,1,3,10436,25024684,"2278,12"
c9,1990,1,4,8972,27599788,"2229,72"
c9,1990,1,5,9776,22164536,"2325,6"
c9,1990,1,6,8820,21717696,"2036,2"
c9,1990,1,7,8108,25634876,"2076,52"
d9,1990,1,1,8772,25076928,"2087,2"
d9,1990,1,2,9084,30129092,"2188,92"
d9,1990,1,3,10296,25190176,"2119,84"
d9,1990,1,4,8728,27795692,"2151,52"
d9,1990,1,5,8868,22371956,"2043,6"
d9,1990,1,6,9128,21926444,"1913,4"
d9,1990,1,7,7668,25870040,"1787,04"
e9,1990,1,1,8396,24932764,"3837,76"
e9,1990,1,2,8728,29950536,"4178,32"
e9,1990,1,3,9640,25010320,"4154,72"
e9,1990,1,4,8176,27628176,"3841,96"
e9,1990,1,5,8904,22194572,"3937,68"
e9,1990,1,6,8568,21759748,"3660,52"
e9,1990,1,7,7500,25656192,"3466,92"
f9,1990,1,1,8976,24987404,"3264,72"
f9,1990,1,2,9696,29995400,"3721,28"
f9,1990,1,3,10400,25054796,"3509,8"
f9,1990,1,4,8988,27701320,"3464,24"
f9,1990,1,5,9796,22276208,"3420,64"
f9,1990,1,6,9596,21863524,"3282,84"
f9,1990,1,7,8528,25747264,3142
g9,1990,1,1,10944,25017888,"2403,12"
g9,1990,1,2,10964,30060340,"2401,32"
g9,1990,1,3,12812,25114788,2461
g9,1990,1,4,10560,27696112,"2350,96"
g9,1990,1,5,11636,22240664,"2693,2"
g9,1990,1,6,10592,21844888,"2326,28"
g9,1990,1,7,9720,25695424,"2129,4"
