STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,CLICKS,IMPRESSIONS,REVENUE
a9,2014,6,10,5493,19865040,1356
a9,2014,6,11,5313,19284578,1372
a9,2014,6,12,4780,15400448,1230
a9,2014,6,13,5511,17746957,1301
a9,2014,6,14,6118,14290360,1392
a9,2014,6,15,6445,14572357,1376
a9,2014,6,16,6219,19825886,1517
auctionexpr,2014,6,10,49788,171535174,21591
auctionexpr,2014,6,11,49088,174752559,22314
auctionexpr,2014,6,12,48352,139361074,21295
auctionexpr,2014,6,13,49986,160975818,21634
auctionexpr,2014,6,14,54725,129804594,22883
auctionexpr,2014,6,15,56151,132454757,23342
auctionexpr,2014,6,16,54056,178930491,24796
b9,2014,6,10,6237,19730184,1662
b9,2014,6,11,6113,19192422,1558
b9,2014,6,12,5964,15390755,1603
b9,2014,6,13,6383,17709550,1459
b9,2014,6,14,7430,14264555,1533
b9,2014,6,15,7508,14538010,1497
b9,2014,6,16,7605,19738194,1734
e9,2014,6,10,5423,19708468,2418
e9,2014,6,11,5176,19159243,2355
e9,2014,6,12,4958,15309651,2201
e9,2014,6,13,5297,17607843,2296
e9,2014,6,14,5853,14228219,2488
e9,2014,6,15,6136,14458974,2591
e9,2014,6,16,5714,19697911,2609
f9,2014,6,10,5022,16469045,1817
f9,2014,6,11,5670,19265731,2079
f9,2014,6,12,5557,15374537,1997
f9,2014,6,13,5951,17691415,2056
f9,2014,6,14,6309,14276617,2168
f9,2014,6,15,6568,14497559,2138
f9,2014,6,16,6430,19749925,2324
g9,2014,6,10,4927,16413630,1299
g9,2014,6,11,6033,19226729,1549
g9,2014,6,12,5881,15378248,1537
g9,2014,6,13,6432,17703061,1489
g9,2014,6,14,7312,14315571,1595
g9,2014,6,15,7245,14532936,1461
g9,2014,6,16,7634,19776478,1744
