STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,IMPRESSIONS,CLICKS,REVENUE
a5,2015,6,7,6280132,3003,509
a5,2015,6,8,12063369,3554,594
a5,2015,6,9,13691447,4162,697
a5,2015,6,10,13308319,4820,616
a5,2015,6,11,12055424,4147,669
a5,2015,6,12,12367171,4548,591
a5,2015,6,13,6717977,3726,588
a5,2015,6,14,6289830,3425,640
a5,2015,6,15,12943729,4562,590
a5,2015,6,16,13306524,4333,563
a5,2015,6,17,12373421,4047,684
a5,2015,6,18,13277632,3768,818
a5,2015,6,19,12185483,0,0
a5,2015,6,20,8291316,5134,1021
a5,2015,6,21,7358928,4491,991
a5,2015,6,22,14304857,5671,1180
a5,2015,6,23,13417982,5528,1195
a5,2015,6,24,14445530,5542,833
a5,2015,6,25,14585881,5263,860
a5,2015,6,26,13398873,4970,852
a5,2015,6,27,7851118,4498,733
a5,2015,6,28,6807129,4076,875
a5,2015,6,29,12813440,4755,800
a5,2015,6,30,13552054,4898,892
a5,2015,7,1,11249513,3497,364
a5,2015,7,2,12703348,3983,442
a5,2015,7,3,11881939,3683,357
a5,2015,7,4,6616552,2646,349
a5,2015,7,5,6179952,2681,339
a5,2015,7,6,12213353,3161,379
a5,2015,7,7,13268241,2703,277
a5,2015,7,8,12595408,3547,442
a5,2015,7,9,10652286,3625,413
a5,2015,7,10,11589037,3554,452
a5,2015,7,11,7764283,3253,461
a5,2015,7,12,7758347,3611,535
a5,2015,7,13,12949014,3854,481
a5,2015,7,14,13557761,3597,388
a5,2015,7,15,13677151,4040,421
a5,2015,7,16,12840445,3890,437
a5,2015,7,17,12683280,4176,453
a5,2015,7,18,7073142,3547,367
a5,2015,7,19,7439048,3811,470
a5,2015,7,20,13513307,4755,470
a5,2015,7,21,13413270,4748,568
a5,2015,7,22,13171172,2760,250
a5,2015,7,23,13416938,5163,521
a5,2015,7,24,11919328,4255,545
a5,2015,7,25,7969364,4326,591
a5,2015,7,26,7326417,3869,550
a5,2015,7,27,14051818,4534,576
a5,2015,7,28,13142280,4326,518
a5,2015,7,29,13296526,4505,539
a5,2015,7,30,12981411,4484,589
a5,2015,7,31,12091275,3997,599
a5,2015,8,1,7824164,3704,283
a5,2015,8,2,6762103,3375,339
a5,2015,8,3,13656690,4155,407
a5,2015,8,4,14017776,4169,345
a5,2015,8,5,13362114,4162,379
a5,2015,8,6,13789503,4090,409
a5,2015,8,7,13063390,5049,384
auctionexpr,2015,6,7,345140423,204050,68006
auctionexpr,2015,6,8,601101866,224482,85596
auctionexpr,2015,6,9,687492580,263287,103069
auctionexpr,2015,6,10,667928508,293231,113120
auctionexpr,2015,6,11,609685334,279636,108611
auctionexpr,2015,6,12,622575798,298459,118334
auctionexpr,2015,6,13,374635826,266327,109580
auctionexpr,2015,6,14,359051612,243613,99169
auctionexpr,2015,6,15,665233370,308693,123639
auctionexpr,2015,6,16,680766378,280995,119477
